"Organism","Limb_width","Limb_length","Observer"
"Patagioenas squamosa",2.10802650271045,8.5995103914941,"Grant S"
"Patagioenas araucana",1.03939450949758,7.15872680552407,"Bryan G"
"Patagioenas squamosa",1.8611876333494,5.02479787904875,"Bryan G"
"Patagioenas araucana",1.56209192760749,6.06074652697233,"Bryan G"
"Patagioenas fasciata",2.81324507807482,6.3535815518478,"Grant S"
"Patagioenas caribaea",0.831880125923929,9.22282347283575,"Grant S"
"Patagioenas caribaea",1.7224838181733,6.78124123529683,"Bryan G"
"Patagioenas caribaea",0.131648641855497,6.90109455677307,"Mia R"
"Patagioenas squamosa",0.0133131857497344,4.76293901159939,"Grant S"
"Patagioenas araucana",0.0368239259062784,6.72673486159009,"Mia R"
"Patagioenas araucana",0.705125549396419,6.67104172218013,"Bryan G"
"Patagioenas araucana",1.8811961816661,6.95165058228408,"Bryan G"
"Patagioenas squamosa",1.53264229584967,6.20112722658275,"Mia R"
"Patagioenas caribaea",0.0343812621280111,6.13685985190215,"Bryan G"
"Patagioenas squamosa",1.84119859391801,8.40308411880548,"Grant S"
"Patagioenas squamosa",0.957176718906265,5.8722965510596,"Mia R"
"Patagioenas squamosa",0.348546297035152,6.13310139107062,"Grant S"
"Patagioenas fasciata",0.613745718537698,7.45511537615887,"Mia R"
"Patagioenas squamosa",0.112422857516184,6.15076277632445,"Bryan G"
"Patagioenas caribaea",0.725917025138242,7.98604716641836,"Mia R"
"Patagioenas fasciata",3.35610588638698,8.52669123257464,"Mia R"
"Patagioenas squamosa",0.576190982376135,6.19987128513712,"Grant S"
"Patagioenas squamosa",1.05301712688255,7.30513826012595,"Mia R"
"Patagioenas caribaea",0.139028788049125,6.56266920468191,"Mia R"
"Patagioenas caribaea",0.551476646377259,5.45272051531766,"Mia R"
"Patagioenas araucana",0.367150040018725,5.50087148220458,"Mia R"
"Patagioenas leucocephala",1.71808209268346,8.06272436065002,"Bryan G"
"Patagioenas squamosa",0.653971445256869,7.17471580923886,"Mia R"
"Patagioenas caribaea",0.112080524143423,6.56740759880216,"Grant S"
"Patagioenas squamosa",0.904270874297436,5.11041684041241,"Grant S"
"Patagioenas leucocephala",2.18006077917246,5.29716139923555,"Grant S"
"Patagioenas fasciata",1.7319894142306,6.16611422900684,"Bryan G"
"Patagioenas araucana",1.45241190766212,5.63421909354236,"Bryan G"
"Patagioenas leucocephala",2.43562797741208,7.43934427391963,"Grant S"
"Patagioenas fasciata",2.21683542622233,7.73692486583348,"Grant S"
"Patagioenas squamosa",1.04093902128669,6.24583132037765,"Bryan G"
"Patagioenas caribaea",0.502147985302369,4.53005633109061,"Mia R"
"Patagioenas squamosa",0.153951266414753,6.39316412177273,"Grant S"
"Patagioenas fasciata",0.370809009349243,6.18153456302883,"Mia R"
"Patagioenas caribaea",1.84742266332341,7.70802526098708,"Mia R"
"Patagioenas leucocephala",0.673285222442506,7.30531927605027,"Mia R"
"Patagioenas araucana",1.73288880921905,5.66566078385049,"Mia R"
